word           Count
******************
Every            1
numpy            1
array            1
grid             1
elements         1
same             1
typeNumpy        1
provides         1
large            1
set              1
numeric          1
datatypes        1
can              1
use              1
arrays           1
Numpy            1
tries            1
guess            1
datatype         1
when             1
create           1
but              1
functions        1
usually          1
also             1
include          1
optional         1
argument         1
explicitly       1
specify          1
Here             1
example          1
is               2
the              2
that             2
you              2
construct        2
a                3
of               3
to               3
an               3
